,callDateTime,priority,district,description,callNumber,incidentLocation,location
115,7/13/2015 11:15,Medium,CD,911/NO  VOICE,P151941093,200 LIGHT ST,"(39.2869477,-76.6135979)"
116,7/13/2015 11:12,Medium,NW,POLICE INFO,P151941094,5900 PARK HEIGHTS AV,"(39.3558016,-76.6889025)"
117,7/13/2015 11:16,Low,CD,INVEST,P151941095,0 E PRATT ST,"(39.2865112,-76.6148804)"
118,7/13/2015 11:17,Medium,CD,911/NO  VOICE,P151941096,800 LINDEN AV,"(39.2987980,-76.6211370)"
119,7/13/2015 11:16,Medium,WD,AUTO THEFT,P151941097,1500 BAKER ST,"(39.3069008,-76.6423785)"
120,7/13/2015 11:13,Medium,NE,DISORDERLY,P151941098,5800 MORAVIA RD,"(39.3184266,-76.5463043)"
121,7/13/2015 11:21,Medium,ED,911/NO  VOICE,P151941099,700 FALLSWAY,"(39.2977369,-76.6104654)"
122,7/13/2015 11:21,Medium,NE,911/NO  VOICE,P151941100,2500 AISQUITH ST,"(39.3173062,-76.5981803)"
123,7/13/2015 11:23,Low,ED,INTOXICATED PERS,P151941101,E NORTH AV/GREENMOUNT AV,"(39.311405,-76.609461)"
124,7/13/2015 11:23,High,WD,Traffic Stop,P151941102,1300 W NORTH AV,"(39.3104442,-76.6386008)"
125,7/13/2015 11:12,Low,NW,INVEST,P151941103,3900 DOLFIELD AV,"(39.3396920,-76.6811520)"
126,7/13/2015 11:23,Medium,WD,911/NO  VOICE,P151941104,2800 EDMONDSON AV,"(39.2945028,-76.6630105)"
127,7/13/2015 11:21,Medium,WD,DISORDERLY,P151941105,1200 MOSHER ST,"(39.3001805,-76.6373764)"
128,7/13/2015 11:18,Medium,ED,DISORDERLY,P151941107,E MONUMENT ST/FALLSWAY,"(39.297744,-76.610441)"
129,7/13/2015 11:24,Medium,SE,COMMON ASSAULT,P151941108,3100 PULASKI HY,"(39.2955346,-76.5735518)"
130,7/13/2015 11:27,Medium,CW,Lab Request,P151941109,3500 CHESTNUT AV,"(39.3300300,-76.6296080)"
131,7/13/2015 11:28,Non-Emergency,ED,Repairs/Service,P151941111,100,"(39.3810499,-76.6572571)"
132,7/13/2015 11:26,High,ND,SILENT ALARM,P151941112,400 W 24TH ST,"(39.3161592,-76.6220130)"
133,7/13/2015 11:25,Medium,CD,NARCOTICSOutside,P151941113,ST PAUL ST/E FAYETTE ST,"(39.290429,-76.613907)"
134,7/13/2015 11:27,Low,NW,INV,P151941114,2700 TALBOT RD,"(39.3173720,-76.6909770)"
135,7/13/2015 11:28,Medium,SW,HIT AND RUN,P151941115,1100 WICKLOW RD,"(39.2976070,-76.6907710)"
136,7/13/2015 11:29,Medium,CD,911/NO  VOICE,P151941116,0 S GREENE ST,"(39.2885206,-76.6236639)"
137,7/13/2015 11:27,Medium,SW,NARCOTICSOutside,P151941117,POPLAR GROVE ST/PROSPECT ST,"(39.298627,-76.665148)"
138,7/13/2015 11:31,Low,NE,OTHER,P151941119,2900 BERWICK AV,"(39.3656890,-76.5540350)"
139,7/13/2015 11:29,Non-Emergency,NE,Repo,P151941120,1500 SHEFFIELD RD,"(39.3421595,-76.5920860)"
140,7/13/2015 11:31,Medium,ND,DISORDERLY,P151941122,E 0RD ST/OLD YORK RD,"(39.328313,-76.608449)"
141,7/13/2015 11:32,Non-Emergency,CD,Repairs/Service,P151941123,100,"(39.3810499,-76.6572571)"
142,7/13/2015 11:31,Medium,WD,DISORDERLY,P151941124,2300 EDMONDSON AV,"(39.2950950,-76.6534070)"
143,7/13/2015 11:31,Low,SD,INTOXICATED PERS,P151941125,1200 GLYNDON AV,"(39.2828759,-76.6356675)"
